ESTATUS	ANIO	MES	TIPO	FRACCION	UMED	PAIS_O_D	ADUANA	MTRA	CANTIDAD	VAL_MNX	VAL_USD
Cifras Revisadas	2021	11	Importación	4016990100	Kg	JPN	24	7	8589.939	4012112	191317.97
Cifras Revisadas	2021	11	Importación	4016990100	Kg	JPN	64	4	0.01	6576	317.82
Cifras Revisadas	2021	11	Importación	4016990100	Kg	ITA	19	7	10.5	52058	2515.95
Cifras Revisadas	2021	11	Importación	4016990100	Kg	ITA	48	4	25.265	60288	2903.17
Cifras Revisadas	2021	11	Importación	4016990100	Kg	HUN	43	1	440	82177	4033.01
Cifras Revisadas	2021	11	Importación	4016990100	Kg	GBR	27	7	8.625	85742	4088.99
Cifras Revisadas	2021	11	Importación	4016990100	Kg	HUN	28	1	91.323	194942	9356.4
Cifras Revisadas	2021	11	Importación	4016999999	Kg	COL	47	4	1	44527	2163.42
Cifras Revisadas	2021	11	Importación	4016999999	Kg	ITA	19	7	33.11	55184	2610.88
Cifras Revisadas	2021	11	Importación	4016999999	Kg	ITA	11	1	806.4	1722605	84000.01
Cifras Revisadas	2021	11	Importación	4016999999	Kg	IND	51	1	185.991	26836	1296.57
Cifras Revisadas	2021	11	Importación	4016999999	Kg	HUN	80	7	0.984	3296	161.01
Cifras Revisadas	2021	11	Importación	4016999999	Kg	HUN	81	1	1875.27	549483	26702.77
Cifras Revisadas	2021	11	Importación	4016999999	Kg	GBR	17	7	20.7	7769	377.12
Cifras Revisadas	2021	11	Importación	4016999999	Kg	GBR	47	4	6.395	60629	2986.06
Cifras Revisadas	2021	11	Importación	4016999999	Kg	FRA	23	7	5.217	35807	1763
Cifras Revisadas	2021	11	Importación	4016999999	Kg	FIN	80	7	0.816	2711	124.25
Cifras Revisadas	2021	11	Importación	4016999999	Kg	ESP	48	7	550	138322	6805.01
Cifras Revisadas	2021	11	Importación	4016999999	Kg	DEU	17	7	1350.28	431116	20418.29
Cifras Revisadas	2021	11	Importación	4016999999	Kg	DEU	51	1	20.95	6112	288.19
Cifras Revisadas	2021	11	Importación	4016999999	Kg	ITA	34	7	5.114	19815	942.13
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CHN	27	7	332.611	73940	3549.37
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CHN	53	4	4.672	3340	163.28
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CHN	40	4	4.99	4517	220.02
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CHN	12	4	2.25	2439	118.8
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CHL	47	4	150	35007	1710.56
Cifras Revisadas	2021	11	Importación	4016999999	Kg	AUS	19	7	2	6180	296.61
Cifras Revisadas	2021	11	Importación	4016999999	Kg	BGD	40	7	54.43	13501	647.99
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CAN	48	4	0.122	2356	115.12
Cifras Revisadas	2021	11	Importación	4016999999	Kg	CAN	24	7	7433.867	1819682	87500.26
Cifras Revisadas	2021	11	Importación	4202120301	Pza	USA	17	7	140	145	6.99
Cifras Revisadas	2021	11	Importación	4202120301	Pza	VNM	33	7	72	723	35.26
Cifras Revisadas	2021	11	Importación	4202120301	Pza	THA	24	7	1	3561	170.97
Cifras Revisadas	2021	11	Importación	4202120302	Pza	CHN	33	7	21660	11253	534.48
Cifras Revisadas	2021	11	Importación	4202120302	Pza	USA	40	7	697	53802	2590.78
Cifras Revisadas	2021	11	Importación	4202120302	Pza	IND	81	1	20	3108	150.7
Cifras Revisadas	2021	11	Importación	4202120302	Pza	CHN	44	7	5	3000	143.96
Cifras Revisadas	2021	11	Importación	4202120302	Pza	MMR	73	7	4	11657	560.18
Cifras Revisadas	2021	11	Importación	4202120302	Pza	ESP	43	1	18	1865	91.13
Cifras Revisadas	2021	11	Importación	4202199900	Pza	CHN	24	7	644	91656	4452.17
Cifras Revisadas	2021	11	Importación	4202210100	Pza	CHN	51	1	804	778916	38011.32
Cifras Revisadas	2021	11	Importación	4202210100	Pza	IND	53	4	23	17346	840.29
Cifras Revisadas	2021	11	Importación	4202220301	Pza	CHN	28	1	767	33754	1646.9
Cifras Revisadas	2021	11	Importación	4202220301	Pza	CHN	23	7	1205	182639	8602.21
Cifras Revisadas	2021	11	Importación	4202920402	Pza	JPN	30	7	1	338	16.51
Cifras Revisadas	2021	11	Importación	4202920402	Pza	DNK	24	7	2	6371	307.91
Cifras Revisadas	2021	11	Importación	4202920402	Pza	IDN	40	7	62	24376	1172.66
Cifras Revisadas	2021	11	Importación	4202920402	Pza	THA	53	1	23	96177	4684.77
Cifras Revisadas	2021	11	Importación	4202920402	Pza	JPN	47	4	15	29554	1476.59
Cifras Revisadas	2021	11	Importación	6302310699	Pza	CHN	47	4	26	2530	124.74
Cifras Revisadas	2021	11	Importación	6302310699	Pza	CHN	30	7	17	7838	385.53
Cifras Revisadas	2021	11	Importación	6302310699	Pza	IND	40	7	29	12814	622.12
Cifras Revisadas	2021	11	Importación	6302320601	Pza	USA	52	4	35	56999	2659.08
Cifras Revisadas	2021	11	Importación	6302320602	Pza	CHN	53	1	510	71118	3473.14
Cifras Revisadas	2021	11	Importación	6302320602	Pza	CHN	47	4	2	82	3.99
Cifras Revisadas	2021	11	Importación	6302320602	Pza	USA	40	7	10	2202	105.72
Cifras Revisadas	2021	11	Importación	6302320604	Pza	CHN	11	1	4978	362339	17620.52
Cifras Revisadas	2021	11	Importación	6302320604	Pza	USA	40	7	168	26522	1265.17
Cifras Revisadas	2021	11	Importación	6302320607	Pza	CHN	73	7	35	6996	341.48
Cifras Revisadas	2021	11	Importación	6302320608	Pza	CHN	11	1	2400	205931	10026.05
Cifras Revisadas	2021	11	Importación	6302320608	Pza	CHN	73	7	116	37802	1825.82
Cifras Revisadas	2021	11	Importación	6302320699	Pza	CHN	11	1	19110	379182	18409.04
Cifras Revisadas	2021	11	Importación	6302320699	Pza	CHN	39	7	230	95722	4599.98
Cifras Revisadas	2021	11	Importación	6302510100	Pza	BGD	47	4	594	75159	3639.1
Cifras Revisadas	2021	11	Importación	6302510100	Pza	BGD	24	7	3168	13316	627.8
Cifras Revisadas	2021	11	Importación	6302510100	Pza	PAK	53	4	46	4807	232.72
Cifras Revisadas	2021	11	Importación	6302600601	Pza	USA	40	7	432	6871	335.66
Cifras Revisadas	2021	11	Importación	6302600601	Pza	IND	43	1	42336	508817	24319.51
Cifras Revisadas	2021	11	Importación	6302600602	Pza	BGD	43	1	3522	184572	9008.74
Cifras Revisadas	2021	11	Importación	6302600602	Pza	PAK	7	7	900	29949	1476.53
Cifras Revisadas	2021	11	Importación	6302600603	Pza	TUR	40	7	8	1158	55.96
Cifras Revisadas	2021	11	Importación	6302600603	Pza	CHN	24	7	24	5772	275.52
Cifras Revisadas	2021	11	Importación	6302600603	Pza	IND	40	7	1580	129394	6236.83
Cifras Revisadas	2021	11	Importación	6302600603	Pza	SLV	37	7	1578	239522	11524.22
Cifras Revisadas	2021	11	Importación	6302600699	Pza	BGD	24	7	1969	51733	2449.4
Cifras Revisadas	2021	11	Importación	6302910100	Pza	PRT	53	4	62	4520	219.98
Cifras Revisadas	2021	11	Importación	6302910100	Pza	TUR	73	7	21	6299	305.07
Cifras Revisadas	2021	11	Importación	6302910100	Pza	FIN	73	7	1	83	3.85
Cifras Revisadas	2021	11	Importación	6302930100	Pza	TWN	24	7	216	11386	551.78
Cifras Revisadas	2021	11	Importación	6303910100	Pza	ESP	47	4	18	40446	1948.9
Cifras Revisadas	2021	11	Importación	6303920201	Pza	ESP	7	7	171000	3538195	170999.99
Cifras Revisadas	2021	11	Importación	6303990100	Pza	EGY	47	4	211	66731	3196.51
Cifras Revisadas	2021	11	Importación	6303990100	Pza	CHN	73	7	9	2232	105.74
Cifras Revisadas	2021	11	Importación	6304199900	Pza	PAK	73	7	29	17667	853.45
Cifras Revisadas	2021	11	Importación	6304920100	Pza	TUR	47	4	98	8229	399.37
Cifras Revisadas	2021	11	Importación	6304920100	Pza	BGD	47	4	33	3427	167.45
Cifras Revisadas	2021	11	Importación	6304920100	Pza	TUR	40	7	135	30047	1440.43
Cifras Revisadas	2021	11	Importación	6304930100	Pza	CHN	16	1	123104	12415472	604392.13
Cifras Revisadas	2021	11	Importación	6304930100	Pza	ESP	47	4	10	2321	113.41
Cifras Revisadas	2021	11	Importación	6304990100	Pza	IND	53	4	24	5795	278.63
Cifras Revisadas	2021	11	Importación	6307100100	Kg	ZYA	43	1	1436.363	159718	7451.02
Cifras Revisadas	2021	11	Importación	6307200100	Kg	VNM	24	7	0.08	822	39.45
Cifras Revisadas	2021	11	Importación	6307200100	Kg	KHM	24	7	112.053	85773	4099.56
Cifras Revisadas	2021	11	Importación	6307200100	Kg	USA	23	7	1.08	1671	79.71
Cifras Revisadas	2021	11	Importación	630790	NA	USA	24	6	14.622	25148	1152.6
Cifras Revisadas	2021	11	Importación	6307900100	Pza	CHN	19	7	3700747	20086111	968036.62
Cifras Revisadas	2021	11	Importación	6307909900	Kg	USA	47	9	6	1607	77.99
Cifras Revisadas	2021	11	Importación	6307909900	Kg	USA	53	4	81.3	98200	4839.6
Cifras Revisadas	2021	11	Importación	6307909900	Kg	USA	52	4	17.6	13712	638.96
Cifras Revisadas	2021	11	Importación	6307909900	Kg	USA	28	4	2470.138	1644653	79274.95
Cifras Revisadas	2021	11	Importación	6307909900	Kg	SWE	7	7	226	8527	415.12
Cifras Revisadas	2021	11	Importación	6307909900	Kg	PHL	80	7	118.643	110029	5283.85
Cifras Revisadas	2021	11	Importación	6307909900	Kg	MYS	52	4	0.075	501	24.21
Cifras Revisadas	2021	11	Importación	6307909900	Kg	MMR	43	1	0.494	535	26.14
